datetime,Dry mixing ratio of species ATO2 (mol mol-1 dry),Dry mixing ratio of species A3O2 (mol mol-1 dry),Dry mixing ratio of species IDHNBOO (mol mol-1 dry),Dry mixing ratio of species ICHOO (mol mol-1 dry),Dry mixing ratio of species IDHNDOO2 (mol mol-1 dry),Dry mixing ratio of species IDHNDOO1 (mol mol-1 dry),Dry mixing ratio of species ICNOO (mol mol-1 dry),Dry mixing ratio of species C4HVP1 (mol mol-1 dry),Dry mixing ratio of species BRO2 (mol mol-1 dry)
2016-01-05 22:30:00,9.883162e-16,3.023859e-14,2.2019295e-16,1.0116197e-21,7.062973e-21,1.0122641e-20,4.72063e-18,0.0,7.413761e-15
2016-01-05 23:30:00,9.356674e-16,2.5226449e-14,2.4137797e-16,1.0320903e-21,9.771864e-21,1.4172001e-20,5.2801354e-18,0.0,6.755755e-15
2016-01-06 00:30:00,9.032792e-16,2.1806694e-14,2.3500177e-16,1.0577058e-21,1.247479e-20,1.8235778e-20,6.1339793e-18,0.0,6.192951e-15
2016-01-06 01:30:00,8.7828995e-16,1.940097e-14,2.1268804e-16,1.0761359e-21,1.5120295e-20,2.2240486e-20,7.2987845e-18,0.0,5.711924e-15
2016-01-06 02:30:00,8.606412e-16,1.7671155e-14,1.8424454e-16,1.1086985e-21,1.7667129e-20,2.6096786e-20,8.7879776e-18,0.0,5.3005424e-15
2016-01-06 03:30:00,8.491265e-16,1.6411517e-14,1.5525894e-16,1.1586184e-21,2.0171229e-20,2.989503e-20,1.0593678e-17,0.0,4.949389e-15
2016-01-06 04:30:00,8.437495e-16,1.5495509e-14,1.2848262e-16,1.2132882e-21,2.255874e-20,3.3587943e-20,1.2691909e-17,0.0,4.6500775e-15
2016-01-06 05:30:00,8.403557e-16,1.4808431e-14,1.0503423e-16,1.2658524e-21,2.4807819e-20,3.7148045e-20,1.506276e-17,0.0,4.395444e-15
2016-01-06 06:30:00,8.409386e-16,1.4293449e-14,8.511261e-17,1.3373654e-21,2.7801385e-20,4.1851688e-20,1.7764106e-17,0.0,4.179578e-15
2016-01-06 07:30:00,8.461097e-16,1.3938519e-14,6.8522074e-17,1.4332273e-21,3.2196328e-20,4.8607198e-20,2.0921744e-17,0.0,3.997337e-15
2016-01-06 08:30:00,1.5972956e-14,7.853628e-14,1.12287196e-17,3.1092314e-20,7.042423e-19,1.1170458e-18,8.1929586e-17,3.1231137e-18,5.4788336e-15
2016-01-06 09:30:00,4.4611945e-14,7.1117625e-14,1.0958874e-17,2.6739968e-19,4.401703e-18,8.628559e-18,2.2904393e-16,1.4784424e-17,1.225103e-14
2016-01-06 10:30:00,7.027722e-14,8.586317e-14,1.2708405e-17,6.080368e-19,4.8212784e-18,1.2710834e-17,1.6578142e-16,1.0987e-17,1.8362687e-14
2016-01-06 11:30:00,9.220107e-14,1.0295441e-13,1.1438927e-17,8.864195e-19,1.900774e-18,8.2672715e-18,7.158317e-17,4.1055894e-18,2.3202709e-14
2016-01-06 12:30:00,1.0776409e-13,1.1474804e-13,9.47126e-18,1.0571031e-18,3.412286e-19,2.738535e-18,2.5186533e-17,1.1330529e-18,2.5968353e-14
2016-01-06 13:30:00,1.1519663e-13,1.192519e-13,6.881013e-18,1.0618479e-18,4.0186328e-20,6.346412e-19,1.0636296e-17,2.699695e-19,2.6540693e-14
2016-01-06 14:30:00,1.1364991e-13,1.1596284e-13,4.884093e-18,9.025939e-19,5.505591e-21,1.4372485e-19,7.137864e-18,6.7910895e-20,2.5239273e-14
2016-01-06 15:30:00,1.02983485e-13,1.0528585e-13,3.5802106e-18,6.642999e-19,3.3898326e-21,3.6417373e-20,6.007988e-18,2.947577e-20,2.2346982e-14
2016-01-06 16:30:00,8.402491e-14,9.00295e-14,2.6759003e-18,4.2125644e-19,6.261339e-21,1.2773062e-20,4.991721e-18,3.046856e-20,1.8189299e-14
